correction_model,spans,wavelength_nm,nearest_grid_channel,nearest_grid_wavelength_nm,wavelength_error_nm,gnpy_gsnr_db,recursive_raw_model_gsnr_db,recursive_raw_residual_db,predicted_residual_correction_db,recursive_corrected_model_gsnr_db,recursive_corrected_residual_db
span_log_linear,8,1539.802,127,1539.8636361961098,0.0616361961099301,19.67,19.596129338848613,-0.07387066115138907,-0.5395084599537967,20.13563779880241,0.46563779880240763
span_log_linear,8,1545.199,114,1545.0219715944893,-0.17702840551078225,19.68,19.40832010708402,-0.27167989291598005,-0.5395084599537967,19.947828567037817,0.26782856703781666
span_log_linear,8,1554.798,90,1554.636412590036,-0.16158740996411325,19.74,19.127020798001038,-0.6129792019989608,-0.5395084599537967,19.666529257954835,-0.07347074204516413
wavelength_span_linear,1,1539.802,127,1539.8636361961098,0.0616361961099301,28.28,27.82906007768924,-0.45093992231076285,-0.6941916904123064,28.523251768101545,0.2432517681015436
wavelength_span_linear,1,1545.199,114,1545.0219715944893,-0.17702840551078225,28.3,27.672212312862847,-0.6277876871371539,-0.8606927658718619,28.532905078734707,0.232905078734708
wavelength_span_linear,1,1554.798,90,1554.636412590036,-0.16158740996411325,28.36,27.435235389990844,-0.9247646100091558,-1.1568283640442196,28.592063754035063,0.23206375403506385
wavelength_span_linear,4,1539.802,127,1539.8636361961098,0.0616361961099301,22.62,22.48305801325921,-0.1369419867407906,-0.4156043804374538,22.898662393696664,0.2786623936966632
wavelength_span_linear,4,1545.199,114,1545.0219715944893,-0.17702840551078225,22.64,22.300399806357824,-0.33960019364217686,-0.5821054558970092,22.88250526225483,0.24250526225483238
wavelength_span_linear,4,1554.798,90,1554.636412590036,-0.16158740996411325,22.7,22.026421247438968,-0.6735787525610313,-0.8782410540693669,22.904662301508335,0.20466230150833564
wavelength_span_linear,8,1539.802,127,1539.8636361961098,0.0616361961099301,19.67,19.596129338848613,-0.07387066115138907,-0.2763107254500275,19.87244006429864,0.20244006429863842
wavelength_span_linear,8,1545.199,114,1545.0219715944893,-0.17702840551078225,19.68,19.40832010708402,-0.27167989291598005,-0.442811800909583,19.851131907993604,0.17113190799360295
wavelength_span_linear,8,1554.798,90,1554.636412590036,-0.16158740996411325,19.74,19.127020798001038,-0.6129792019989608,-0.7389473990819406,19.865968197082978,0.1259681970829798
