launch_power_dbm,n_spans,channel,band,wavelength_nm,analytical_gsnr_db,recursive_gsnr_db,delta_recursive_minus_analytical_db
-2.0,1,123,C,1541.4471439467163,30.062581666114845,30.062581666114845,0.0
-2.0,1,124,C,1541.050961764627,30.0641313248023,30.0641313248023,0.0
-2.0,1,125,C,1540.6549831834075,30.065570354015605,30.065570354015605,0.0
-2.0,1,126,C,1540.2592080461504,30.06689550860169,30.06689550860169,0.0
-2.0,1,127,C,1539.8636361961098,30.06810341682845,30.06810341682845,0.0
-2.0,1,128,C,1539.4682674766998,30.069190571195996,30.069190571195996,0.0
-2.0,1,129,C,1539.0731017314956,30.070153318830318,30.070153318830318,0.0
-2.0,1,130,C,1538.6781388042334,30.07098785141273,30.07098785141273,0.0
-2.0,1,131,C,1538.2833785388095,30.071690194608202,30.071690194608202,0.0
-2.0,1,132,C,1537.8888207792802,30.07225619696388,30.07225619696388,0.0
-2.0,1,133,C,1537.494465369862,30.072681518256132,30.072681518256132,0.0
-2.0,1,134,C,1537.1003121549306,30.072961617271105,30.072961617271105,0.0
-2.0,1,135,C,1536.7063609790223,30.073091739009307,30.073091739009307,0.0
-2.0,1,136,C,1536.3126116868318,30.073066901310902,30.073066901310902,0.0
-2.0,1,137,C,1535.919064123213,30.072881880903942,30.072881880903942,0.0
-2.0,1,138,C,1535.5257181331795,30.0725311988839,30.0725311988839,0.0
-2.0,1,139,C,1535.1325735619027,30.072009105639733,30.072009105639733,0.0
-2.0,1,140,C,1534.7396302547133,30.07130956524925,30.07130956524925,0.0
-2.0,1,141,C,1534.3468880570995,30.070426239376488,30.070426239376488,0.0
-2.0,1,142,C,1533.9543468147083,30.069352470715828,30.069352470715828,0.0
-2.0,1,143,C,1533.5620063733443,30.06808126604507,30.06808126604507,0.0
-2.0,1,144,C,1533.1698665789697,30.066605278974667,30.066605278974667,0.0
-2.0,1,145,C,1532.777927277705,30.064916792519746,30.064916792519746,0.0
-2.0,1,146,C,1532.386188315827,30.06300770168719,30.06300770168719,0.0
-2.0,1,147,C,1531.99464953977,30.06086949638852,30.06086949638852,0.0
-2.0,1,148,C,1531.6033107961255,30.058493245219555,30.058493245219555,0.0
-2.0,1,149,C,1531.2121719316413,30.055869581142826,30.055869581142826,0.0
-2.0,1,150,C,1530.8212327932215,30.0529886913063,30.0529886913063,0.0
-2.0,1,151,C,1530.4304932279274,30.049840316588053,30.049840316588053,0.0
-2.0,1,152,C,1530.0399530829757,30.046413776333196,30.046413776333196,0.0
-2.0,1,153,S,1529.6496122057392,29.779506662834713,29.779506662834713,0.0
-2.0,1,154,S,1529.2594704437463,29.771655398497813,29.771655398497813,0.0
-2.0,1,155,S,1528.8695276446808,29.76345725577934,29.76345725577934,0.0
-2.0,1,156,S,1528.4797836563826,29.75489799465542,29.75489799465542,0.0
-2.0,1,157,S,1528.0902383268458,29.74596263116277,29.74596263116277,0.0
-2.0,1,158,S,1527.7008915042197,29.736635490560865,29.736635490560865,0.0
-2.0,1,159,S,1527.3117430368086,29.726900217803557,29.726900217803557,0.0
-2.0,1,160,S,1526.922792773071,29.71673977604371,29.71673977604371,0.0
-2.0,1,161,S,1526.5340405616198,29.706136440849352,29.706136440849352,0.0
