launch_power_dbm,n_spans_target,span,mean_input_power_dbm,mean_output_power_dbm,max_abs_amp_residual_db,mean_accumulated_ase_receiver_w,mean_accumulated_nli_w
0.0,10,6,1.928654933106574e-15,1.928654933106574e-15,0.0,2.134308738728211e-06,7.4173411219966246e-06
0.0,10,7,1.928654933106574e-15,1.928654933106574e-15,0.0,2.4900268618495798e-06,8.653564642329395e-06
0.0,10,8,1.928654933106574e-15,1.928654933106574e-15,0.0,2.845744984970948e-06,9.889788162662164e-06
0.0,10,9,1.928654933106574e-15,1.928654933106574e-15,0.0,3.2014631080923166e-06,1.1126011682994936e-05
0.0,10,10,1.928654933106574e-15,1.928654933106574e-15,0.0,3.557181231213685e-06,1.2362235203327705e-05
2.0,1,1,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,8.556325886813089e-07,5.326994726552058e-06
2.0,4,1,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,8.556325886813089e-07,5.326994726552058e-06
2.0,4,2,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,1.7112651773626178e-06,1.0653989453104115e-05
2.0,4,3,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,2.5668977660439264e-06,1.598098417965617e-05
2.0,4,4,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,3.4225303547252356e-06,2.130797890620823e-05
2.0,8,1,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,8.556325886813089e-07,5.326994726552058e-06
2.0,8,2,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,1.7112651773626178e-06,1.0653989453104115e-05
2.0,8,3,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,2.5668977660439264e-06,1.598098417965617e-05
2.0,8,4,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,3.4225303547252356e-06,2.130797890620823e-05
2.0,8,5,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,4.2781629434065435e-06,2.6634973632760284e-05
2.0,8,6,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,5.133795532087853e-06,3.196196835931235e-05
2.0,8,7,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,5.989428120769161e-06,3.728896308586441e-05
2.0,8,8,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,6.845060709450471e-06,4.261595781241646e-05
2.0,10,1,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,8.556325886813089e-07,5.326994726552058e-06
2.0,10,2,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,1.7112651773626178e-06,1.0653989453104115e-05
2.0,10,3,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,2.5668977660439264e-06,1.598098417965617e-05
2.0,10,4,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,3.4225303547252356e-06,2.130797890620823e-05
2.0,10,5,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,4.2781629434065435e-06,2.6634973632760284e-05
2.0,10,6,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,5.133795532087853e-06,3.196196835931235e-05
2.0,10,7,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,5.989428120769161e-06,3.728896308586441e-05
2.0,10,8,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,6.845060709450471e-06,4.261595781241646e-05
2.0,10,9,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,7.700693298131779e-06,4.7942952538968515e-05
2.0,10,10,2.0000000000000004,2.0000000000000004,6.661338147750939e-16,8.556325886813087e-06,5.326994726552057e-05
